Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
US	138	103	103	85	85	True
China	58	54	54	41	41	True
Sweden	86	47	47	36	36	True
UK	40	39	39	35	35	True
Denmark	51	31	31	26	26	True
Spain	36	24	24	21	21	True
AG	20	20	20	20	20	True
SW	11	11	11	11	11	False
DM	10	10	10	10	10	False
KY	6	6	6	6	6	False
Israel	9	9	9	6	6	False
GH	4	4	4	4	4	False
Kazakhstan	6	6	6	4	4	False
Fiji	5	4	4	3	3	False
France	5	5	5	3	3	False
BF	3	3	3	3	3	False
Germany	10	4	4	2	2	False
Austria	1	1	1	1	1	False
Estonia	1	0	0	0	0	False
Mongolia	2	1	0	0	0	False
Ireland	1	1	0	0	0	False
Canada	16	13	0	0	0	False
Australia	1	1	0	0	0	False
Italy	1	1	0	0	0	False
