Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
US	296	170	170	170	170	True
AG	166	166	166	166	166	True
China	158	135	135	135	135	True
UK	93	90	90	90	90	True
Israel	88	88	88	88	88	True
Denmark	122	78	78	78	78	True
SW	65	65	65	65	65	True
DM	60	60	60	60	60	True
Sweden	86	48	48	48	48	True
Austria	87	44	44	44	44	True
KY	41	41	41	41	41	True
Germany	94	40	40	40	40	True
Spain	75	33	33	33	33	True
Netherlands	53	29	29	29	29	True
BF	24	24	24	24	24	True
France	23	23	23	23	23	True
Kazakhstan	20	19	19	19	19	False
GH	12	12	12	12	12	False
Fiji	3	2	2	2	2	False
Russia	36	0	0	0	0	False
Slovakia	1	1	0	0	0	False
Japan	1	1	0	0	0	False
Peru	4	1	0	0	0	False
Mongolia	9	6	0	0	0	False
Canada	31	23	0	0	0	False
Finland	44	1	0	0	0	False
Estonia	19	0	0	0	0	False
Italy	5	4	0	0	0	False
