Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	96	96	96	96	96	True
BF	88	88	88	88	88	True
GH	60	60	60	60	60	True
DM	51	51	51	51	51	True
KY	47	47	47	47	47	True
SW	37	37	37	37	37	True
Israel	22	22	22	15	15	False
Denmark	18	18	18	15	15	False
US	24	15	15	12	12	False
Fiji	15	12	12	10	10	False
Kazakhstan	9	8	8	6	6	False
China	8	8	8	5	5	False
Spain	5	5	5	4	4	False
Netherlands	8	4	4	3	3	False
UK	5	5	5	3	3	False
France	2	2	2	2	2	False
Austria	1	1	1	1	1	False
Sweden	3	2	2	1	1	False
Germany	1	1	1	0	0	False
Mongolia	9	7	0	0	0	False
Tanzania	1	1	0	0	0	False
