Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	53	53	53	53	53	True
SW	22	22	22	22	22	True
DM	20	20	20	20	20	True
GH	19	19	19	19	19	False
BF	19	19	19	19	19	False
Fiji	26	17	17	17	17	False
Israel	16	16	16	16	16	False
KY	16	16	16	16	16	False
China	14	13	13	13	13	False
Kazakhstan	17	11	11	11	11	False
Denmark	8	8	8	8	8	False
US	8	7	7	7	7	False
UK	4	4	4	4	4	False
France	2	2	2	2	2	False
Austria	5	2	2	2	2	False
Spain	2	2	2	2	2	False
Sweden	2	2	2	2	2	False
Germany	1	1	1	1	1	False
Netherlands	1	1	1	1	1	False
Madagascar	1	1	0	0	0	False
Mongolia	3	3	0	0	0	False
Norway	1	1	0	0	0	False
Peru	3	1	0	0	0	False
