Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	39	39	39	39	39	True
China	28	22	22	22	22	True
Israel	22	22	22	22	22	True
US	32	22	22	22	22	True
DM	16	16	16	16	16	False
KY	14	14	14	14	14	False
UK	14	14	14	14	14	False
Fiji	17	12	12	12	12	False
Denmark	17	11	11	11	11	False
Kazakhstan	9	8	8	8	8	False
Spain	20	8	8	8	8	False
Sweden	14	7	7	7	7	False
BF	7	7	7	7	7	False
SW	6	6	6	6	6	False
GH	5	5	5	5	5	False
Germany	8	3	3	3	3	False
France	3	3	3	3	3	False
Austria	2	2	2	2	2	False
Netherlands	1	1	1	1	1	False
Madagascar	2	2	0	0	0	False
Mongolia	3	2	0	0	0	False
Russia	7	0	0	0	0	False
Finland	1	0	0	0	0	False
Estonia	1	0	0	0	0	False
Canada	4	3	0	0	0	False
