Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
Denmark	175	106	106	106	106	True
AG	100	100	100	100	100	True
KY	75	75	75	75	75	True
BF	55	55	55	55	55	True
GH	50	50	50	50	50	True
DM	47	47	47	47	47	True
Israel	38	38	38	38	38	True
Fiji	45	36	36	36	36	True
US	62	35	35	35	35	True
SW	24	24	24	24	24	True
UK	21	21	21	21	21	True
Kazakhstan	25	21	21	21	21	True
Spain	57	17	17	17	17	False
Sweden	23	16	16	16	16	False
France	13	13	13	13	13	False
China	9	9	9	9	9	False
Austria	9	6	6	6	6	False
Netherlands	10	6	6	6	6	False
Germany	7	4	4	4	4	False
Ireland	1	1	0	0	0	False
Madagascar	4	4	0	0	0	False
Mongolia	9	6	0	0	0	False
Peru	9	1	0	0	0	False
Russia	2	0	0	0	0	False
Tanzania	2	2	0	0	0	False
Canada	4	2	0	0	0	False
