population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
Denmark	106	106	0	14089	3962	10127	6044.432452489268	27835.640121422457	21.0	29387.209760484006	57	31	3514	81	3	8.4
AG	100	100	0	23536	6023	17513	9862.072388715509	45416.52173656902	22.5	29387.209760484006	89	78	5319	196	7	27.4
KY	75	75	0	19244	5661	13583	4849.7114589110115	22333.7466212218	22.0	29387.209760484006	83	68	5005	172	4	18.1
BF	55	55	0	31366	8463	22903	5296.00359009341	24388.997837984065	32.8	29387.209760484006	131	170	7423	296	9	69.8
GH	50	50	0	21304	5494	15810	6775.911623304499	31204.226190532045	20.4	29387.209760484006	78	60	4870	139	4	19.3
DM	47	47	0	23267	5971	17296	7837.871977129052	36094.734350666244	20.6	29387.209760484006	89	78	5267	184	2	26.5
Israel	38	38	0	13220	3577	9643	4884.136424502554	22492.279446417637	18.2	29387.209760484006	53	27	3161	18	3	7.0
Fiji	36	36	0	14979	3745	11234	11419.169999262836	52587.221229334864	17.8	29387.209760484006	53	27	3329	41	4	7.9
US	35	35	0	14295	3953	10342	3308.1246719845667	15234.47711095496	18.0	29387.209760484006	59	34	3489	59	2	8.3
SW	24	24	0	24840	6774	18066	7740.909003597796	35648.20335581535	24.8	29387.209760484006	99	97	5990	277	5	33.0
Kazakhstan	21	21	0	12258	3277	8981	5464.1150780050775	25163.179850036973	18.4	29387.209760484006	48	22	2893	46	3	6.0
UK	21	21	0	11699	3245	8454	6528.608591895456	30065.353643382645	19.9	29387.209760484006	48	22	2861	54	4	5.6
