population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
China	107	107	0	22359	5363	16996	2292.9161014101974	10559.268869186288	37.1	9805.760561279027	32	9	5049	140	9	8.4
Israel	75	75	0	22270	5274	16996	2720.617108743859	12528.90479667634	45.2	9805.760561279027	32	9	4959	61	6	7.5
AG	57	57	0	19797	4819	14978	1845.4946770720717	8498.817065252024	35.2	9805.760561279027	29	8	4550	110	8	6.1
US	46	46	0	20061	4581	15480	2851.243732211767	13130.462628567042	36.0	9805.760561279027	27	7	4315	64	8	5.8
SW	41	41	0	19695	4493	15202	2329.091521245811	10725.862834078856	41.3	9805.760561279027	27	7	4239	75	8	5.6
Fiji	36	36	0	23535	5686	17849	2797.4332087786534	12882.656010360453	29.0	9805.760561279027	34	11	5357	124	11	8.2
Austria	34	34	0	19361	4191	15170	2384.4099674501917	10980.613693274458	50.5	9805.760561279027	25	6	3952	29	4	5.2
KY	32	32	0	18448	4745	13703	1315.0050696665862	6055.822141251755	34.5	9805.760561279027	29	8	4460	188	9	5.8
Spain	28	28	0	16848	3662	13186	1583.9876129820036	7294.532530279166	43.2	9805.760561279027	22	4	3447	25	5	4.3
DM	22	22	0	20176	4852	15324	1888.5777908292987	8697.222136246339	41.8	9805.760561279027	29	8	4579	71	8	6.1
Sweden	20	20	0	25816	5975	19841	2482.036255865614	11430.199366053834	47.4	9805.760561279027	36	12	5630	79	8	9.4
