Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
China	120	107	107	107	107	True
Israel	75	75	75	75	75	True
AG	57	57	57	57	57	True
US	58	46	46	46	46	True
SW	41	41	41	41	41	True
Fiji	53	36	36	36	36	True
Austria	49	34	34	34	34	True
KY	32	32	32	32	32	True
Spain	47	28	28	28	28	True
DM	22	22	22	22	22	True
Sweden	31	20	20	20	20	True
Denmark	26	19	19	19	19	False
BF	17	17	17	17	17	False
GH	17	17	17	17	17	False
France	14	14	14	14	14	False
UK	14	14	14	14	14	False
Germany	16	9	9	9	9	False
Kazakhstan	10	9	9	9	9	False
Netherlands	7	7	7	7	7	False
Australia	1	1	0	0	0	False
Canada	1	1	0	0	0	False
Madagascar	4	4	0	0	0	False
Mongolia	5	3	0	0	0	False
Peru	12	3	0	0	0	False
Slovakia	1	1	0	0	0	False
