Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
China	532	478	478	478	478	True
US	626	382	382	382	382	True
AG	229	229	229	229	229	True
Israel	226	226	226	226	226	True
Denmark	287	193	193	193	193	True
Netherlands	283	161	161	161	161	True
Spain	297	118	118	118	118	True
SW	115	115	115	115	115	True
Sweden	198	112	112	112	112	True
Fiji	136	109	109	109	109	True
UK	108	106	106	106	106	True
DM	100	100	100	100	100	True
KY	90	90	90	90	90	True
Austria	114	66	66	66	66	True
Germany	125	59	59	59	59	True
GH	52	52	52	52	52	True
BF	42	42	42	42	42	True
Kazakhstan	52	38	38	38	38	True
France	29	29	29	29	29	True
Italy	7	4	0	0	0	False
Canada	28	20	0	0	0	False
Australia	3	3	0	0	0	False
Madagascar	30	30	0	0	0	False
Mongolia	56	37	0	0	0	False
Hungary	1	1	0	0	0	False
Peru	7	3	0	0	0	False
Russia	22	0	0	0	0	False
Slovakia	1	0	0	0	0	False
Finland	62	2	0	0	0	False
Estonia	43	0	0	0	0	False
Tanzania	4	2	0	0	0	False
ElSalvador	5	5	0	0	0	False
Japan	13	10	0	0	0	False
