population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
China	478	478	0	18029	3561	14468	11681.41550140018	53794.90639718724	47.5	32127.852375093695	54	28	3507	120	7	11.4
US	382	382	0	11612	2339	9273	4894.289209370659	22539.034748596983	35.9	32127.852375093695	38	14	2301	148	6	4.2
AG	229	229	0	17237	3364	13873	13090.375724450407	60283.40800962127	27.5	32127.852375093695	53	27	3312	129	6	9.2
Israel	226	226	0	11312	2210	9102	4113.740868617994	18944.47680104034	28.4	32127.852375093695	36	12	2174	131	5	3.8
Denmark	193	193	0	11604	2330	9274	4468.090064606374	20576.315153834876	26.6	32127.852375093695	38	14	2292	151	6	4.1
Netherlands	161	161	0	11904	2450	9454	7155.88185714419	32954.05378297351	23.8	32127.852375093695	41	16	2410	153	5	4.3
Spain	118	118	0	11827	2390	9437	6902.990076961268	31789.444096593666	21.7	32127.852375093695	40	15	2350	138	5	4.3
SW	115	115	0	11086	2087	8999	7166.97853108185	33005.15585495486	20.7	32127.852375093695	34	11	2053	24	3	3.4
Sweden	112	112	0	11459	2313	9146	5839.370475653519	26891.294819418683	22.9	32127.852375093695	39	14	2275	100	7	3.9
Fiji	109	109	0	12049	2289	9760	8753.322793431713	40310.54115664172	21.5	32127.852375093695	38	14	2251	57	5	4.3
UK	106	106	0	11959	2451	9508	8249.84611317749	37991.94535939471	22.5	32127.852375093695	42	17	2409	123	6	4.6
DM	100	100	0	17755	3474	14281	11592.93726365076	53387.449054594836	23.9	32127.852375093695	54	28	3420	124	6	9.9
KY	90	90	0	15383	3046	12337	11422.435290376028	52602.258450617905	19.0	32127.852375093695	49	23	2998	65	4	7.0
Austria	66	66	0	12076	2480	9596	9172.00063727515	42238.623880643296	18.1	32127.852375093695	41	16	2440	142	6	4.4
Germany	59	59	0	12032	2465	9567	7113.021477988684	32756.67444272643	18.3	32127.852375093695	41	16	2425	147	9	4.4
GH	52	52	0	18800	3482	15318	9793.90681746672	45102.60768014325	17.3	32127.852375093695	52	26	3430	98	3	10.5
BF	42	42	0	18052	3312	14740	7943.6606436072825	36581.90916354723	17.1	32127.852375093695	50	24	3262	70	4	9.4
Kazakhstan	38	38	0	10403	1872	8531	2523.90606267565	11623.016952068494	15.6	32127.852375093695	30	8	1842	34	2	2.8
France	29	29	0	11885	2288	9597	4153.315229904146	19126.723469764846	18.3	32127.852375093695	38	14	2250	57	3	4.2
