Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
BF	151	151	151	151	151	True
AG	145	145	145	145	145	True
Israel	74	74	74	74	74	True
DM	70	70	70	70	70	True
SW	60	60	60	60	60	True
US	64	53	53	53	53	True
KY	44	44	44	44	44	True
UK	43	43	43	43	43	True
GH	39	39	39	39	39	True
Spain	55	31	31	31	31	True
Sweden	43	28	28	28	28	True
France	25	25	25	25	25	True
China	31	21	21	21	21	True
Austria	26	15	15	15	15	False
Fiji	20	12	12	12	12	False
Denmark	8	7	7	7	7	False
Kazakhstan	7	6	6	6	6	False
Netherlands	2	2	2	2	2	False
Germany	3	1	1	1	1	False
Canada	3	3	0	0	0	False
Italy	2	2	0	0	0	False
Madagascar	3	3	0	0	0	False
Russia	2	0	0	0	0	False
Australia	8	8	0	0	0	False
Iceland	1	1	0	0	0	False
