population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
BF	151	151	0	10382	2115	8267	6850.535181258313	31547.880374793305	16.3	15758.00647857159	29	8	2087	140	7	3.2
AG	145	145	0	10426	2079	8347	6830.918679500903	31457.543045746697	13.5	15758.00647857159	28	7	2051	142	5	2.7
Israel	74	74	0	5057	1139	3918	4465.168881579015	20562.862608849468	8.1	15758.00647857159	16	3	1118	52	4	1.0
DM	70	70	0	11344	2347	8997	10292.997570447811	47401.005535874116	12.8	15758.00647857159	32	9	2315	87	5	3.2
SW	60	60	0	11410	2334	9076	9792.291711094722	45095.16984043172	13.5	15758.00647857159	31	9	2304	125	5	3.0
US	53	53	0	5064	1153	3911	4109.622051346197	18925.508946538725	11.4	15758.00647857159	15	3	1135	57	6	1.0
KY	44	44	0	8052	1702	6350	8161.26991798622	37584.036906111614	11.1	15758.00647857159	23	5	1680	67	5	1.8
UK	43	43	0	5202	1197	4005	4523.142607485334	20829.841482963897	8.1	15758.00647857159	17	3	1176	62	4	1.1
GH	39	39	0	10470	2096	8374	6583.113779523584	30316.359308429386	15.9	15758.00647857159	29	8	2068	171	7	2.6
Spain	31	31	0	6007	1437	4570	2123.4727305914416	9778.953309678429	10.7	15758.00647857159	19	3	1419	75	4	1.4
Sweden	28	28	0	5659	1327	4332	1791.3195855775625	8249.331549078333	11.3	15758.00647857159	18	3	1306	61	6	1.3
France	25	25	0	7082	1655	5427	1487.3608238647278	6849.549721868529	13.5	15758.00647857159	22	4	1633	72	5	1.6
China	21	21	0	5905	1463	4442	2225.433892305956	10248.501811734819	18.0	15758.00647857159	19	3	1442	46	3	1.3
