Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	103	103	103	103	103	True
China	175	153	153	78	78	True
US	134	96	96	49	49	True
UK	104	102	102	46	46	True
Israel	96	96	96	43	43	True
DM	39	39	39	39	39	True
Denmark	97	81	81	37	37	True
KY	30	30	30	30	30	True
BF	28	28	28	28	28	True
Sweden	60	44	44	23	23	True
SW	22	22	22	22	22	True
Austria	45	32	32	18	18	False
GH	18	18	18	18	18	False
Spain	66	39	39	16	16	False
Fiji	16	11	11	9	9	False
Kazakhstan	25	20	20	9	9	False
Germany	49	28	28	9	9	False
Netherlands	13	12	12	8	8	False
France	13	12	12	7	7	False
Estonia	2	0	0	0	0	False
Finland	5	0	0	0	0	False
Mongolia	11	7	0	0	0	False
Peru	2	1	0	0	0	False
Italy	3	3	0	0	0	False
Canada	11	8	0	0	0	False
Australia	1	1	0	0	0	False
