population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan	failed_stage
AG	103	103	0	36367	7856	28511	1052.9059594320368	4848.811133025602	42.8	906.2641000853542	8.0	3.0	5403.0	200.0	36.0	4.5	
China	78	78	0	27434	5186	22248	417.5850213647523	1923.0500905041574	38.4	906.2641000853542	6.0	3.0	3240.0	104.0	19.0	2.6	
US	49	49	0	27602	5269	22333	242.55228710068698	1116.9945610993075	30.9	906.2641000853542	6.0	3.0	3269.0	88.0	16.0	2.7	
UK	46	46	0	26395	4931	21464	201.9845170609643	930.1730760003556	31.5								scan
Israel	43	43	0	27074	5081	21993	208.72137409005512	961.197449137989	30.5	906.2641000853542	5.0	3.0	2634.0	57.0	7.0	2.1	
DM	39	39	0	37906	8169	29737	677.6847228740121	3120.853481279002	31.6	906.2641000853542	8.0	3.0	5688.0	230.0	39.0	4.2	
Denmark	37	37	0	26040	4916	21124	141.20939960446887	650.2933170397786	28.5	906.2641000853542	5.0	3.0	2497.0	59.0	9.0	2.0	
KY	30	30	0	40834	8920	31914	576.4241182268447	2654.53116374274	33.4	906.2641000853542	9.0	3.0	6340.0	255.0	39.0	4.6	
BF	28	28	0	21404	4168	17236	112.25113851008979	516.9355964098852	28.0								scan
Sweden	23	23	0	27610	5211	22399	104.21400652859418	479.9232358278502	26.2	906.2641000853542	6.0	3.0	3211.0	95.0	15.0	2.5	
SW	22	22	0	29421	6023	23398	786.8700397242744	3623.6704471854932	28.4	906.2641000853542	6.0	3.0	3740.0	79.0	11.0	2.8	
