population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	seconds_ld	tract_length_pooled	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
China	141	141	0	20747	5494	15253	9.6	2808.90708830652	12935.495178279803	35	11	5280	109	7	5.7
US	132	132	0	26417	6939	19478	9.6	2808.90708830652	12935.495178279803	45	19	6663	220	12	8.2
UK	57	57	0	24542	6481	18061	6.3	2808.90708830652	12935.495178279803	40	15	6234	134	9	6.9
Israel	35	35	0	37795	9946	27849	8.4	2808.90708830652	12935.495178279803	63	39	9554	351	12	18.1
AG	34	34	0	33806	9020	24786	7.4	2808.90708830652	12935.495178279803	57	31	8666	360	18	13.9
Denmark	26	26	0	18585	4777	13808	4.4	2808.90708830652	12935.495178279803	30	8	4591	71	10	4.2
Germany	23	23	0	24085	6447	17638	5.2	2808.90708830652	12935.495178279803	41	16	6193	191	9	6.8
SW	21	21	0	33569	8995	24574	6.7	2808.90708830652	12935.495178279803	58	33	8629	199	10	14.4
Austria	20	20	0	31634	8406	23228	6.3	2808.90708830652	12935.495178279803	53	27	8079	165	10	11.6
Sweden	20	20	0	26511	6983	19528	5.2	2808.90708830652	12935.495178279803	44	18	6708	139	11	8.5
