Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	121	121	121	121	121	True
SW	41	41	41	41	41	True
DM	40	40	40	40	40	True
China	40	34	34	34	34	True
Fiji	36	23	23	23	23	True
KY	22	22	22	22	22	True
US	22	17	17	17	17	False
Kazakhstan	21	14	14	14	14	False
BF	13	13	13	13	13	False
Denmark	13	12	12	12	12	False
UK	9	9	9	9	9	False
Israel	7	7	7	7	7	False
GH	7	7	7	7	7	False
Sweden	7	6	6	6	6	False
France	4	4	4	4	4	False
Austria	5	3	3	3	3	False
Spain	10	3	3	3	3	False
Germany	4	2	2	2	2	False
Netherlands	1	1	1	1	1	False
ElSalvador	1	0	0	0	0	False
Peru	13	8	0	0	0	False
Mongolia	17	9	0	0	0	False
Canada	2	2	0	0	0	False
Madagascar	2	2	0	0	0	False
