Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	76	76	76	76	76	True
Denmark	126	94	94	51	51	True
US	156	94	94	51	51	True
Israel	70	70	70	43	43	True
China	69	61	61	33	33	True
BF	30	30	30	30	30	True
GH	27	27	27	27	27	True
SW	24	24	24	24	24	True
UK	42	41	41	23	23	True
DM	17	17	17	17	17	False
KY	17	17	17	17	17	False
Spain	44	31	31	16	16	False
Sweden	39	25	25	10	10	False
Austria	17	13	13	7	7	False
France	8	8	8	7	7	False
Kazakhstan	11	9	9	5	5	False
Germany	23	12	12	5	5	False
Netherlands	7	6	6	4	4	False
Fiji	8	6	6	3	3	False
Madagascar	1	1	0	0	0	False
Mongolia	4	2	0	0	0	False
Canada	12	8	0	0	0	False
Australia	1	1	0	0	0	False
Estonia	4	0	0	0	0	False
Italy	3	3	0	0	0	False
